Gender,GivenName,City,ZipCode,EmailAddress,Username,Birthday,Kilograms,Centimeters,Latitude,Longitude
female,Belda,MARSEILLE,13001,BeldaCharlebois@rhyta.com,Feercer,1/11/1990,86.7,167,43.281366,5.355494
female,Amabella,"LA TESTE-DE-BUCH",33260,AmabellaHebert@armyspy.com,Knem1968,12/27/1968,74.3,164,44.715828,-1.187752
female,Bernadette,OULLINS,69600,BernadetteVerreau@teleworm.us,Thershe,8/20/1980,98.0,165,45.647399,4.786249
female,Belisarda,NANTES,44100,BelisardaGivry@cuvox.de,Sheat1948,7/2/1948,99.2,161,47.258993,-1.545348
female,Amarante,SEVRAN,93270,AmaranteFongemie@dayrep.com,Foolity,1/6/1959,61.8,171,49.018143,2.62088
male,Lyle,LIMOGES,87100,LyleLabbe@jourrapide.com,Woractagoine,7/4/1939,96.0,168,45.787139,1.356328
male,Burrell,MARSEILLE,13015,BurrellBourgeau@dayrep.com,Satereat,8/15/1944,96.2,173,43.363229,5.295439
female,Ormazd,PIERREFITTE-SUR-SEINE,93380,OrmazdTremblay@fleckens.hu,Mosticen,1/17/1966,54.3,173,49.032071,2.293275
male,Léon,SAINTE-MARIE,97438,LeonLeroux@rhyta.com,Nectifems,10/11/1949,81.2,168,42.660871,3.005144
male,Martin,ÉPINAL,88000,MartinHoude@dayrep.com,Thatter,9/6/1968,89.4,175,48.110018,6.477934
female,Iva,VILLIERS-SUR-MARNE,94350,IvaBosse@cuvox.de,Sters1978,7/31/1978,77.6,156,48.777425,2.484488
female,Suzette,JUAN-LES-PINS,06160,SuzetteEcheverri@armyspy.com,Witin1934,8/31/1934,71.6,158,43.581921,7.07275
male,Charlot,METZ,57000,CharlotSaurel@cuvox.de,Fighall,12/12/1979,113.3,178,49.214926,6.151133
male,Seymour,TALENCE,33400,SeymourCinq-Mars@gustr.com,Peenionved,2/28/1974,91.6,179,44.827643,-0.506394
male,Charles,VERNON,27200,CharlesMargand@cuvox.de,Faroppich63,4/7/1963,69.2,168,49.082657,1.511548
male,Quennel,VANVES,92170,QuennelAuthier@rhyta.com,Blied1943,6/14/1943,71.1,170,48.909633,2.290851
male,Honoré,SÈVRES,92310,HonoreMailloux@armyspy.com,Inted1992,5/1/1992,82.2,185,48.856867,2.265193
male,Alexis,COURBEVOIE,92400,AlexisNeufville@dayrep.com,Gimber,11/8/1941,78.6,172,48.897144,2.338454
male,Laurent,VILLEJUIF,94800,LaurentBlais@dayrep.com,Hicither,9/15/1980,69.0,188,48.781009,2.261414
male,Agrican,PLAISIR,78370,AgricanLabrie@jourrapide.com,Wittionfer,1/29/1935,67.6,172,48.80768,1.98737
male,Jeoffroi,VERSAILLES,78000,JeoffroiLaramee@armyspy.com,Agaire38,4/23/1938,92.1,173,48.76315,2.170978
female,Rive,MONTÉLIMAR,26200,RiveProulx@einrot.com,Nottead,10/29/1968,100.1,168,44.646935,4.706165
male,Verrill,CANNES-LA-BOCCA,06150,VerrillSicard@rhyta.com,Comang,12/25/1944,72.9,177,43.611052,7.034958
male,Christien,COLOMBES,92700,ChristienCoudert@teleworm.us,Goofty56,8/15/1956,62.8,185,48.826882,2.284689
female,Melisande,ANTIBES,06600,MelisandeClement@fleckens.hu,Woreas,8/25/1961,81.2,173,43.506383,7.202659
female,Yolette,"LE ROBERT",97231,YoletteDAvis@rhyta.com,Deggence,9/27/1958,51.9,172,45.741224,5.315135
female,Parnella,VAULX-EN-VELIN,69120,ParnellaHebert@teleworm.us,Beesse,7/16/1947,94.1,163,45.713269,4.924238
male,Gradasso,SAINT-PRIEST,69800,GradassoDesroches@jourrapide.com,Anglover,9/12/1964,83.8,185,45.741622,4.988932
female,Rosemarie,"LE KREMLIN-BICÊTRE",94270,RosemarieTherrien@gustr.com,Heady1982,5/21/1982,69.6,174,48.721055,2.450054
female,Solaine,GARGES-LÈS-GONESSE,95140,SolaineLereau@fleckens.hu,Thaveling,2/4/1986,82.9,160,49.040191,2.368161
female,Cécile,SAINT-NAZAIRE,44600,CecileBoule@einrot.com,Baced1956,12/19/1956,65.1,165,47.266406,-2.277895
male,Wyatt,GRENOBLE,38100,WyattLepicier@rhyta.com,Saink1981,8/5/1981,84.1,178,45.119327,5.73741
female,Danielle,SAINTE-GENEVIÈVE-DES-BOIS,91700,DanielleBarjavel@dayrep.com,Thereaming,10/6/1950,86.9,154,48.686962,2.418622
female,Mavise,CHAUMONT,52000,MaviseMarcheterre@fleckens.hu,Hatepeor,12/26/1952,65.8,161,48.02495,5.124484
male,Burnell,MULHOUSE,68100,BurnellCorbin@armyspy.com,Forompares,3/10/1950,67.1,178,47.659241,7.358284
male,Somer,AGEN,47000,SomerAvare@jourrapide.com,Deat1981,1/15/1981,69.6,183,44.159609,0.553461
female,Julienne,CHOLET,49300,JulienneProulx@jourrapide.com,Plantithe,10/22/1986,100.2,171,47.006402,-0.907006
male,Verrill,GIF-SUR-YVETTE,91190,VerrillDupuis@cuvox.de,Bentarast,11/18/1976,74.4,175,48.679875,2.187745
female,Belle,MONTROUGE,92120,BelleFranchet@jourrapide.com,Girs1971,9/15/1971,79.5,154,48.796028,2.31965
male,Didier,MONTLUÇON,03100,DidierArcouet@rhyta.com,Prough,12/8/1935,73.8,170,46.220731,2.618988
female,Yseult,SAINT-JOSEPH,97480,YseultBisaillon@superrito.com,Carch1948,10/16/1948,91.2,171,45.639751,4.537235
female,Genevre,BRUNOY,91800,GenevreAustin@armyspy.com,Dazint,6/30/1982,92.3,167,48.648956,2.525632
female,Aubrey,PIERREFITTE-SUR-SEINE,93380,AubreyRancourt@einrot.com,Geoplegatill,1/17/1946,62.4,167,48.927927,2.369706
female,Aubrette,BOULOGNE-SUR-MER,62200,AubretteMarseau@armyspy.com,Allne1953,10/7/1953,79.4,163,50.807233,1.679347
male,Léon,VANVES,92170,LeonTollmache@rhyta.com,Combis,1/24/1964,67.7,180,48.778343,2.326642
male,Burkett,DOLE,39100,BurkettLambert@gustr.com,Radepery,8/18/1937,100.2,181,47.079276,5.558913
male,Philip,DRANCY,93700,PhilipGilbert@cuvox.de,Artiong,1/18/1959,74.3,180,48.997076,2.418037
male,Laurent,PALAISEAU,91120,LaurentLacombe@superrito.com,Youlded,11/15/1983,85.0,168,48.637182,2.250176
male,Marmion,HYÈRES,83400,MarmionNoel@cuvox.de,Hatenjus1951,3/1/1951,83.7,165,43.120462,6.16391
female,Édith,SAINT-CHAMOND,42400,EdithProvencher@teleworm.us,Ahmearallood,2/15/1952,67.2,152,45.392188,4.453356
male,Ignace,FLEURY-LES-AUBRAIS,45400,IgnaceSciverit@gustr.com,Amented,8/2/1992,82.7,185,47.990128,1.936993
male,Clovis,"LA VARENNE-SAINT-HILAIRE",94210,ClovisBerard@teleworm.us,Johns1943,8/25/1943,101.3,163,48.840895,2.470966
male,Olivier,ÉPERNAY,51200,OlivierLatourelle@gustr.com,Cambelin,8/28/1946,60.7,168,48.98589,3.898988
female,Madelene,SAINT-PRIEST,69800,MadeleneMoise@jourrapide.com,Withish80,3/24/1980,100.6,165,45.699187,5.02189
female,Genevre,CONFLANS-SAINTE-HONORINE,78700,GenevreFongemie@fleckens.hu,Whatill,12/6/1979,87.4,174,49.012375,2.154455
male,Victor,NOGENT-SUR-MARNE,94130,VictorViens@jourrapide.com,Inateptind,5/9/1959,89.9,173,48.774342,2.386592
male,Arber,ISTRES,13800,ArberMetivier@armyspy.com,Housband,1/31/1935,61.6,172,43.530549,5.063982
male,Nicolas,FORT-DE-FRANCE,97234,NicolasChasse@teleworm.us,Landeat,9/12/1990,67.1,169,14.580706,-61.131567
female,Fayme,TARBES,65000,FaymeRichard@einrot.com,Whistand95,1/4/1995,52.9,155,43.231541,0.057448
female,Durandana,AJACCIO,20090,DurandanaDeLaVergne@superrito.com,Strat1977,8/19/1977,50.5,162,41.858941,8.741754
female,Honore,SEDAN,08200,HonoreAsselin@dayrep.com,Winur1962,11/2/1962,55.8,155,49.620104,4.915328
female,Erembourg,SAINT-GERMAIN-EN-LAYE,78100,ErembourgMainville@teleworm.us,Ounpayines,5/4/1984,86.0,158,48.987265,2.109403
female,Zara,ANTONY,92160,ZaraAdler@fleckens.hu,Selead,10/4/1963,60.0,154,48.72356,2.377602
female,Clarice,"LE BOUSCAT",33110,ClariceMasse@rhyta.com,Expriamere97,10/15/1997,69.8,161,44.871577,-0.653017
male,Gabriel,HÉNIN-BEAUMONT,62110,GabrielBrodeur@jourrapide.com,Forcive,3/7/1981,89.6,169,50.495757,2.913227
male,Laurent,VILLENEUVE-SUR-LOT,47300,LaurentLemaitre@fleckens.hu,Thabstarbod,4/20/1951,97.3,174,44.4524,0.729305
female,Cécile,ANTONY,92160,CecileRaymond@rhyta.com,Heauld1945,6/11/1945,54.2,163,48.771147,2.336709
male,Chapin,HÉNIN-BEAUMONT,62110,ChapinRochefort@armyspy.com,Mougge,12/15/1948,71.4,164,50.48469,2.959577
male,Hardouin,PARIS,75011,HardouinBeaulieu@armyspy.com,Mentabor,8/5/1992,61.1,187,48.812128,2.329888
male,Romain,SAINT-SÉBASTIEN-SUR-LOIRE,44230,RomainLapointe@rhyta.com,Obold1948,3/4/1948,71.4,176,47.257404,-1.489112
male,Raoul,NANTES,44000,RaoulLapierre@cuvox.de,Washeand,2/16/1984,66.2,169,47.242236,-1.607837
male,Eustache,MALAKOFF,92240,EustacheDube@cuvox.de,Oppre1940,5/15/1940,71.5,167,48.836413,2.381614
female,Cher,TROYES,10000,CherQuenneville@cuvox.de,Slonly,8/28/1995,69.2,173,48.271335,4.140925
male,Sennet,NICE,06100,SennetPomerleau@dayrep.com,Fambeephyal,5/18/1974,91.5,189,43.644212,7.225752
female,Berangaria,"LE BLANC-MESNIL",93150,BerangariaMasse@rhyta.com,Youstand1945,4/1/1945,57.0,163,48.923295,2.544751
female,Vedette,VIGNEUX-SUR-SEINE,91270,VedetteChalut@teleworm.us,Bobjection,4/17/1971,78.2,158,48.717317,2.397803
female,Karlotta,ANNEMASSE,74100,KarlottaCroquetaigne@dayrep.com,Unwon1946,3/1/1946,66.9,151,46.265532,6.244654
male,Émile,"LE BOUSCAT",33110,EmileLoiseau@teleworm.us,Donve1982,2/4/1982,66.6,178,44.874952,-0.633202
male,Burnell,PONTOISE,95000,BurnellAsselin@cuvox.de,Etione,8/18/1971,113.6,169,48.956675,2.113248
female,Jeanette,PARIS,75006,JeanetteMireault@cuvox.de,Eappy1985,12/26/1985,50.6,164,48.878013,2.408556
male,Eugène,SCHOELCHER,97233,EugeneDastous@superrito.com,Honed1995,5/15/1995,70.1,179,47.192113,-1.605568
male,Richard,BÉZIERS,34500,RichardThivierge@teleworm.us,Seents65,1/14/1965,74.1,184,43.323432,3.226698
female,Ila,COMBS-LA-VILLE,77380,IlaDupere@gustr.com,Usbacener45,1/9/1945,77.9,159,48.599825,2.522152
female,Margaux,MONTPELLIER,34070,MargauxPlourde@cuvox.de,Anday1961,7/25/1961,88.0,159,43.619644,3.787528
male,Julien,ANGERS,49100,JulienRousseau@fleckens.hu,Deaved,12/21/1958,113.5,174,47.478345,-0.49875
male,Anton,MARSEILLE,13015,AntonChenard@teleworm.us,Coneing,8/6/1999,97.1,174,43.285139,5.359872
female,Inès,VOIRON,38500,InesBureau@jourrapide.com,Waying2000,7/21/2000,65.7,153,45.351697,5.647307
female,Victoire,"LA SEYNE-SUR-MER",83500,VictoireLebrun@rhyta.com,Poeth1981,12/28/1981,94.9,158,43.022031,5.916585
male,Saber,CERGY,95800,SaberChicoine@gustr.com,Sooreaver00,2/22/2000,62.1,173,49.132044,2.05648
female,Noémi,PERPIGNAN,66100,NoemiPouliotte@einrot.com,Chmervaske1954,11/17/1954,87.9,158,42.687299,2.820991
male,Huon,SAINT-PRIEST,69800,HuonDouffet@rhyta.com,Wentre,7/23/1941,92.6,184,45.708175,4.843525
male,Adrien,MANTES-LA-JOLIE,78200,AdrienPoulin@cuvox.de,Nonvize,9/14/1990,92.3,189,48.912629,1.690155
male,Landers,LONGJUMEAU,91160,LandersHetu@gustr.com,Hatesel,11/21/1952,94.2,178,48.756499,2.392562
male,Gustave,TOULOUSE,31300,GustaveLambert@einrot.com,Proplied,5/20/1963,76.2,178,43.643206,1.476979
male,Frédéric,SAINT-LEU,97436,FredericPinette@superrito.com,Gratch,6/1/1975,107.2,188,48.976226,2.20951
female,Astrid,ATHIS-MONS,91200,AstridQuenneville@rhyta.com,Heremer1942,6/26/1942,55.6,160,48.758066,2.323557
male,Richard,"LE HAVRE",76610,RichardMartineau@dayrep.com,Supen1983,3/28/1983,93.2,176,49.400597,0.182266
male,Marc,SAINTES,17100,MarcBourque@cuvox.de,Lawyn1960,7/28/1960,65.7,168,45.782033,-0.667599
male,Zerbino,SAINTE-MARIE,97438,ZerbinoBeaulieu@dayrep.com,Wrosixer1934,10/26/1934,75.9,171,42.63101,3.100771
female,Eleanor,SARCELLES,95200,EleanorTherriault@teleworm.us,Niae1978,1/19/1978,72.9,162,49.048005,2.336739
female,Marjolaine,ORVAULT,44700,MarjolaineDuhamel@gustr.com,Youpe1982,12/14/1982,98.7,156,47.215136,-1.569994
male,Anton,SAINTE-MARIE,97438,AntonRacine@teleworm.us,Beeal1976,7/13/1976,111.7,184,42.660221,2.969126
female,Solaine,STRASBOURG,67000,SolaineMetivier@cuvox.de,Tignark,3/20/1948,74.2,169,48.680644,7.750648
female,Ninette,LORIENT,56100,NinetteBeriault@gustr.com,Teards,11/14/1975,69.1,161,47.685709,-3.442861
female,Zurie,SOTTEVILLE-LÈS-ROUEN,76300,ZurieDaigle@jourrapide.com,Seaut1949,1/25/1949,60.1,163,49.4456,1.115168
female,Océane,SEVRAN,93270,OceaneSorel@dayrep.com,Thretur,9/13/1965,53.1,172,48.851657,2.452612
male,Latimer,GENNEVILLIERS,92230,LatimerPatel@jourrapide.com,Penisch,3/17/1979,76.4,172,48.899409,2.328146
male,Davet,SÈTE,34200,DavetBaril@rhyta.com,Chle1997,8/11/1997,108.9,184,43.438143,3.663461
male,Hamilton,SAINT-SÉBASTIEN-SUR-LOIRE,44230,HamiltonCaron@fleckens.hu,Younchants,6/13/1948,84.9,175,47.300444,-1.539547
female,Pauline,HERBLAY,95220,PaulineDeziel@superrito.com,Paltaing,5/7/1962,103.3,163,48.916341,2.172806
male,Benoît,COGNAC,16100,BenoitLegault@gustr.com,Foreply,4/12/1974,73.0,188,45.626713,-0.385159
female,Jeannine,CALUIRE-ET-CUIRE,69300,JeannineGaillard@armyspy.com,Thalle,6/11/1938,84.6,163,45.787376,4.896818
male,Saber,PARIS,75011,SaberCyr@fleckens.hu,Theinguing,1/16/1958,103.5,180,48.903647,2.353001
male,Bertrand,ALÈS,30100,BertrandDrouin@dayrep.com,Anny1962,5/8/1962,92.4,170,44.13396,4.097278
male,Julien,MASSY,91300,JulienPaquet@rhyta.com,Arded1981,12/16/1981,63.6,186,48.655999,2.270811
female,Lorraine,LIMOGES,87000,LorraineLacasse@rhyta.com,Hankicht,1/14/1993,97.0,168,45.826081,1.280982
male,Fitz,VILLEPARISIS,77270,FitzJolicoeur@einrot.com,Unfortalty,7/2/1951,82.8,184,48.932279,2.564524
female,Claire,CHARENTON-LE-PONT,94220,ClaireQuerry@fleckens.hu,Chress1948,1/22/1948,99.6,165,48.77623,2.413929
male,Bayard,AUXERRE,89000,BayardPoisson@einrot.com,Wereave,12/7/1965,67.6,174,47.769477,3.56231
female,Arianne,AIX-EN-PROVENCE,13100,AriannePaiement@dayrep.com,Thake1998,6/3/1998,91.6,171,43.489623,5.402494
male,Burnell,MENTON,06500,BurnellGrignon@superrito.com,Tanduch1974,8/31/1974,77.7,177,43.696313,7.447434
female,Laurence,CHÂLONS-EN-CHAMPAGNE,51000,LaurenceBourgouin@gustr.com,Atiousaing,7/20/1943,66.3,159,49.000876,4.412754
male,Senapus,CLICHY-SOUS-BOIS,93390,SenapusAbril@superrito.com,Amituchens,3/26/1994,108.4,182,48.867391,2.583894
female,Joanna,SAINT-DENIS,97400,JoannaLampron@rhyta.com,Siriand,11/11/1956,96.0,161,49.011659,2.358687
male,Leverett,CANNES,06400,LeverettBeauchemin@einrot.com,Thavinct,7/1/1986,73.3,188,43.46578,7.047198
female,Gay,QUIMPER,29000,GayLapierre@teleworm.us,Uposurs,5/7/1939,92.6,168,48.078468,-4.194895
female,Annot,LORMONT,33310,AnnotLachance@teleworm.us,Youts1992,10/5/1992,89.4,174,44.800441,-0.519073
male,Jesper,CHAUMONT,52000,JesperCousteau@teleworm.us,Foultia,7/29/1984,105.5,175,48.014162,5.186352
female,Caresse,COUDEKERQUE-BRANCHE,59210,CaresseFerland@dayrep.com,Gorwast,1/23/1952,92.2,155,50.954751,2.445838
male,Cloridan,METZ,57070,CloridanLesperance@dayrep.com,Hadis1949,6/16/1949,106.2,178,49.094529,6.260219
male,Montague,RODEZ,12000,MontagueMarois@teleworm.us,Lumospors1985,12/26/1985,71.7,170,44.361229,2.654758
male,Algernon,ALENÇON,61000,AlgernonDeblois@armyspy.com,Sharther,6/5/1998,91.1,175,48.372743,0.140471
male,Warrane,CHALON-SUR-SAÔNE,71100,WarraneCailot@gustr.com,Deet1934,11/16/1934,61.2,164,46.639378,4.722962
female,Falerina,DRANCY,93700,FalerinaRancourt@rhyta.com,Finighboy,8/24/1964,104.2,166,48.991763,2.488192
male,Nicholas,NICE,06000,NicholasFaucher@rhyta.com,Sampeatent,12/4/1975,104.0,188,43.65428,7.234072
male,Éric,COGNAC,16100,EricLanoie@fleckens.hu,Exproul66,9/7/1966,73.6,178,45.690694,-0.400545
male,Soren,ÉPINAY-SUR-SEINE,93800,SorenPaquette@cuvox.de,Rinven,3/6/1975,101.0,170,49.014452,2.268108
female,Fifi,ROUEN,76000,FifiCharette@jourrapide.com,Mortard,6/16/1940,98.6,160,49.347944,1.023669
male,Davet,MELUN,77000,DavetGendron@dayrep.com,Shence71,5/29/1971,75.8,173,48.600691,2.759782
female,Azura,MONS-EN-BAROEUL,59370,AzuraCourse@rhyta.com,Alligns,1/10/1945,63.9,155,50.632773,3.189642
female,Alexandrin,IVRY-SUR-SEINE,94200,AlexandrinLazure@rhyta.com,Theirl,4/2/1938,81.0,156,48.77741,2.388824
male,Artus,TOULOUSE,31300,ArtusLamontagne@superrito.com,Congly,6/24/1943,99.4,168,43.513921,1.516851
female,Afrodille,VITRY-SUR-SEINE,94400,AfrodilleCoupart@teleworm.us,Wisable,6/24/1993,70.1,170,48.814918,2.419849
male,Théodore,MÂCON,71000,TheodoreCote@dayrep.com,Paltaing,11/19/1995,101.9,187,46.361706,4.784072
female,Mireille,"LES ABYMES",97142,MireilleBoucher@jourrapide.com,Hismay,6/15/1960,75.9,165,47.099815,1.681229
female,Rachelle,"LA MADELEINE",59110,RachelleAuthier@fleckens.hu,Moreats,9/4/1999,85.2,171,50.650544,3.146268
female,Avril,FORT-DE-FRANCE,97200,AvrilRene@armyspy.com,Ocre1996,3/21/1996,58.1,162,14.520464,-61.023687
female,Slainie,SUCY-EN-BRIE,94370,SlainieDuperre@cuvox.de,Gribetwouter,10/5/1949,58.2,170,48.705761,2.568669
male,Fortun,VERDUN,55100,FortunRobitaille@einrot.com,Thempanince,6/26/1998,89.5,187,49.052957,5.354095
male,Arnaud,CHÂTEAUROUX,36000,ArnaudLesage@rhyta.com,Hiptaich,9/16/1961,97.6,180,46.78472,1.656765
female,Victorine,CREIL,60100,VictorineGoudreau@gustr.com,Youten,10/15/1963,83.1,154,49.250193,2.566654
female,Danielle,SAUMUR,49400,DanielleCantin@einrot.com,Causbas,9/29/1936,63.2,161,47.227704,-0.006138
female,Ancelote,"LE CREUSOT",71200,AnceloteCollin@fleckens.hu,Butimis,1/24/1987,91.4,162,46.813847,4.338222
male,Harbin,SAINT-LAURENT-DU-VAR,06700,HarbinLetourneau@einrot.com,Cantsed,12/15/1960,88.9,174,43.650635,7.115913
female,Fayme,AIX-LES-BAINS,73100,FaymeLabelle@armyspy.com,Tentme,5/29/1936,50.4,170,45.730641,5.869161
female,Babette,DAX,40100,BabetteCarignan@rhyta.com,Sedged,9/5/1952,81.7,159,43.650495,-1.089331
male,Curtis,FRÉJUS,83600,CurtisMailhot@superrito.com,Inte1991,10/1/1991,102.6,172,43.408974,6.758734
male,Lance,SAINTE-MARIE,97230,LanceCourtois@jourrapide.com,Opher1956,9/16/1956,86.4,177,42.704698,3.073498
female,Éléonore,PARIS,75006,EleonoreHuot@gustr.com,Cring1972,2/22/1972,64.1,168,48.849109,2.331165
female,Clarimunda,GARGES-LÈS-GONESSE,95140,ClarimundaDupuis@fleckens.hu,Tions1950,10/11/1950,80.3,163,48.875277,2.463384
male,Rule,THONON-LES-BAINS,74200,RuleAchin@cuvox.de,Waser1988,12/7/1988,95.6,168,46.272715,6.629942
female,Annette,CALUIRE-ET-CUIRE,69300,AnnetteDeziel@armyspy.com,Sporrok,8/4/1982,95.6,173,45.865612,4.770687
male,Yvon,LIMOGES,87000,YvonChartre@fleckens.hu,Makinater1937,12/15/1937,81.9,182,45.736921,1.222754
male,Carolos,MARSEILLE,13016,CarolosBlondlot@jourrapide.com,Seeck1956,12/11/1956,109.1,177,43.402022,5.402734
male,Honoré,MANTES-LA-JOLIE,78200,HonorePotvin@teleworm.us,Suaing,11/25/1992,106.0,179,48.960631,1.647074
female,Christelle,"LA VALETTE-DU-VAR",83160,ChristelleBatard@dayrep.com,Hirtire,12/19/1967,65.6,159,43.187682,6.012167
female,Joy,VITRY-SUR-SEINE,94400,JoyMichel@superrito.com,Laire1950,3/12/1950,92.2,157,48.793115,2.31314
male,Ernest,MONTBÉLIARD,25200,ErnestCousteau@einrot.com,Renturem,7/20/1984,80.5,172,47.451778,6.747023
male,Arno,AJACCIO,20000,ArnoTurgeon@dayrep.com,Sumanducke40,6/28/1940,100.6,179,41.953073,8.79909
male,Toussaint,LILLE,59800,ToussaintGodin@dayrep.com,Sady1940,9/26/1940,63.5,183,50.670649,3.079285
female,Victoire,FRÉJUS,83600,VictoireBonneville@superrito.com,Hishismand,2/13/1983,61.6,166,43.423641,6.706609
female,Charmaine,BAGNOLET,93170,CharmaineAdler@teleworm.us,Carch1946,10/25/1946,61.7,163,48.777811,2.33218
female,Belda,ÉPINAL,88000,BeldaCroquetaigne@jourrapide.com,Antict78,6/8/1978,55.1,161,48.225729,6.561208
male,Paien,VIENNE,38200,PaienLatourelle@rhyta.com,Yountwo97,1/13/1997,110.0,167,45.409458,4.841181
female,Susanne,BRIVE-LA-GAILLARDE,19100,SusanneGodin@armyspy.com,Comence,6/10/1939,59.4,165,45.162265,1.556894
female,Heloise,"LES ABYMES",97142,HeloiseDionne@superrito.com,Housen1964,10/1/1964,75.6,173,47.088968,1.639872
male,Joseph,MALAKOFF,92240,JosephMarier@rhyta.com,Rehe1952,2/11/1952,89.3,184,48.817896,2.21752
female,Catherine,MONTFERMEIL,93370,CatherineLaforest@einrot.com,Ablee1952,2/9/1952,57.1,156,48.878251,2.618018
male,Xavier,LORIENT,56100,XavierBriard@dayrep.com,Beted1988,10/9/1988,92.1,168,47.692379,-3.432164
male,Serge,LUNÉVILLE,54300,SergeBerie@cuvox.de,Jent1970,4/30/1970,115.5,170,48.617585,6.511906
male,Peverell,QUIMPER,29000,PeverellSt-Pierre@gustr.com,Sucts1952,12/10/1952,62.9,168,48.066466,-4.192635
male,Verrill,BOIS-COLOMBES,92270,VerrillCarriere@gustr.com,Acend1977,11/20/1977,104.8,171,49.018708,2.202523
male,Chappell,FRANCONVILLE-LA-GARENNE,95130,ChappellBellemare@dayrep.com,Buthich,6/25/1997,70.9,178,48.936828,2.223228
female,Eulalie,"LA GARENNE-COLOMBES",92250,EulalieTachel@gustr.com,Hernight,2/5/1990,49.4,161,48.984475,2.249602
female,Fleur,SAINT-PAUL,97460,FleurMercure@cuvox.de,Loye1995,10/17/1995,60.8,162,43.664979,7.112297
female,Pierrette,LYON,69009,PierretteChauvet@jourrapide.com,Behopentrib,8/20/1978,73.2,158,45.717495,4.855159
male,Searlas,VERDUN,55100,SearlasHuot@dayrep.com,Allis1956,1/6/1956,78.8,179,49.023011,5.393748
female,Dielle,BRUAY-LA-BUISSIÈRE,62700,DielleBoucher@jourrapide.com,Thout1952,12/11/1952,66.6,153,50.478535,2.641797
female,Amorette,VERNON,27200,AmorettePerreault@superrito.com,Ineder,9/17/1943,93.2,153,49.009494,1.558556
female,Ninette,JUAN-LES-PINS,06160,NinetteLaberge@gustr.com,Inks1936,3/12/1936,88.6,165,43.50407,7.043272
